index,codepoint,char
0,U+3042,あ
1,U+3044,い
2,U+3046,う
3,U+3048,え
4,U+304A,お
5,U+304B,か
6,U+304D,き
7,U+304F,く
8,U+3051,け
9,U+3053,こ
10,U+3055,さ
11,U+3057,し
12,U+3059,す
13,U+305B,せ
14,U+305D,そ
15,U+305F,た
16,U+3061,ち
17,U+3064,つ
18,U+3066,て
19,U+3068,と
20,U+306A,な
21,U+306B,に
22,U+306C,ぬ
23,U+306D,ね
24,U+306E,の
25,U+306F,は
26,U+3072,ひ
27,U+3075,ふ
28,U+3078,へ
29,U+307B,ほ
30,U+307E,ま
31,U+307F,み
32,U+3080,む
33,U+3081,め
34,U+3082,も
35,U+3084,や
36,U+3086,ゆ
37,U+3088,よ
38,U+3089,ら
39,U+308A,り
40,U+308B,る
41,U+308C,れ
42,U+308D,ろ
43,U+308F,わ
44,U+3090,ゐ
45,U+3091,ゑ
46,U+3092,を
47,U+3093,ん
48,U+309D,ゝ
